Player,Pos,School,Conference,State,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Israel Abanikanda,RB,Pittsburgh,ACC,Pennsylvania,5-10,216,,,,,,
Yasir Abdullah,LB,Louisville,ACC,Kentucky,6-1,237,4.47,36.5,,129.0,,
Devon Achane,RB,Texas A&M,SEC,Texas,5-9,188,4.32,33.0,,,,
Jordan Addison,WR,USC,PAC-12,California,5-11,173,4.49,34.0,,122.0,,
Adetomiwa Adebawore,DE,Northwestern,Big Ten,Illinois,6-2,282,4.49,37.5,27.0,125.0,,
Alan Ali,C,TCU,Big 12,Texas,6-4,301,,26.5,,,,
Davis Allen,TE,Clemson,ACC,South Carolina,6-6,245,,38.5,,125.0,,
MJ Anderson,DE,Iowa St.,Big 12,Iowa,6-3,269,,33.0,,,,
Jake Andrews,C,Troy,Sun Belt,Alabama,6-3,305,5.15,26.0,,102.0,,4.73
Felix Anudike-Uzomah,EDGE,Kansas St.,Big 12,Kansas,6-3,255,,,,,,
Malaesala Aumavae-Laulu,OT,Oregon,PAC-12,Oregon,6-6,317,5.23,28.5,,106.0,7.65,4.75
Alex Austin,CB,Oregon St.,PAC-12,Oregon,6-1,195,4.55,33.0,,122.0,,4.33
Steve Avila,G,TCU,Big 12,Texas,6-4,332,5.21,29.5,,98.0,7.85,4.74
Tyson Bagent,QB,Shepherd,PSAC,West Virginia,6-3,213,4.79,36.0,,120.0,6.95,4.36
Henry Bainivalu,G,Washington,PAC-12,Washington,6-6,306,5.5,28.0,,101.0,8.34,4.97
Habakkuk Baldonado,EDGE,Pittsburgh,ACC,Pennsylvania,6-4,251,4.78,35.0,21.0,120.0,7.11,4.44
Deonte Banks,CB,Maryland,Big Ten,Maryland,6-0,197,4.35,42.0,,136.0,,
Jeremy Banks,LB,Tennessee,SEC,Tennessee,6-1,232,4.53,37.5,25.0,127.0,7.27,4.38
Bryce Baringer,P,Michigan St.,Big Ten,Michigan,6-2,216,,,,,,
Micah Baskerville,LB,LSU,SEC,Louisiana,6-1,221,,31.0,,115.0,,
TJ Bass,G,Oregon,PAC-12,Oregon,6-4,317,5.48,28.5,,109.0,,
Jordan Battle,SAF,Alabama,SEC,Alabama,6-1,209,4.55,,17.0,,,
Robert Beal,EDGE,Georgia,SEC,Georgia,6-4,247,4.48,30.0,,123.0,,
Ronnie Bell,WR,Michigan,Big Ten,Michigan,6-0,191,4.54,38.5,14.0,120.0,6.98,4.15
Jakorian Bennett,CB,Maryland,Big Ten,Maryland,5-11,188,4.3,40.5,13.0,133.0,,
Stetson Bennett,QB,Georgia,SEC,Georgia,5-11,192,4.67,33.5,,118.0,,4.2
